Modelo,Exactitud,Precisión macro,Recall macro,F1 macro,Pérdida logarítmica,Tiempo entrenamiento (s),Tiempo inferencia prueba (s),Parámetros,Épocas ejecutadas
ANN,0.9713095238095238,0.9710443987830392,0.9710853401934594,0.9710531985445524,0.09705007076263428,5.170721300004516,0.11470639999606647,109386,10
CNN,0.9889285714285714,0.9888350369564133,0.9888515553977628,0.9888316726570036,0.04065597429871559,81.746624899999,0.5826450000167824,421642,10
